;sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito;result
0;Masculino;comercio;fabrica de ;prado;3;10.0;13/07/2018;5000000;microempresarial;"Masculino; comercio; fabrica de ; prado; 3; 10.0; 43294; 5000000; microempresarial"
1;Femenino;servicio;recreativo-educativo;barrio caicedo;1;9.0;30/10/2017;6000000;microempresarial;"Femenino; servicio; recreativo-educativo; barrio caicedo; 1; 9.0; 43038; 6000000; microempresarial"
2;Femenino;comercio;tienda;aranjuez;2;4.0;3/08/2017;7300000;microempresarial;"Femenino; comercio; tienda; aranjuez; 2; 4.0; 42950; 7300000; microempresarial"
3;Masculino;comercio;variedades;cabecera san cristobal;3;60.0;20/11/2017;7000000;microempresarial;"Masculino; comercio; variedades; cabecera san cristobal; 3; 60.0; 43059; 7000000; microempresarial"
4;Femenino;comercio;fabrica de ;robledo;2;7.0;23/02/2017;5000000;microempresarial;"Femenino; comercio; fabrica de ; robledo; 2; 7.0; 42789; 5000000; microempresarial"
5;Femenino;comercio;variedades;picachito;1;6.0;31/05/2017;7000000;microempresarial;"Femenino; comercio; variedades; picachito; 1; 6.0; 42886; 7000000; microempresarial"
6;Femenino;industria;fabrica de ;guayabal;3;15.0;20/02/2016;$ 2,000,000.00;microempresarial;"Femenino; industria; fabrica de ; guayabal; 3; 15.0; 42420; $ 2,000,000.00; microempresarial"
7;Femenino;comercio;tienda;carpinelo;1;1.0;14/02/2017;3300000;microempresarial;"Femenino; comercio; tienda; carpinelo; 1; 1.0; 42780; 3300000; microempresarial"
8;Masculino;comercio;variedades;belalcazar;2;5.0;7/05/2018;7800000;microempresarial;"Masculino; comercio; variedades; belalcazar; 2; 5.0; 43227; 7800000; microempresarial"
9;Femenino;comercio;variedades;manrique central no. 1;1;4.0;3/05/2018;7800000;microempresarial;"Femenino; comercio; variedades; manrique central no. 1; 1; 4.0; 43223; 7800000; microempresarial"
10;Femenino;industria;fabrica de ;manrique central no. 2;2;3.0;28/02/2017;4500000;microempresarial;"Femenino; industria; fabrica de ; manrique central no. 2; 2; 3.0; 42794; 4500000; microempresarial"
11;Masculino;agropecuaria;sembrados;santa elena central;2;90.0;23/12/2016;13000000;agropecuaria;"Masculino; agropecuaria; sembrados; santa elena central; 2; 90.0; 42727; 13000000; agropecuaria"
12;Femenino;comercio;comidas rapidas;andalucia;2;2.0;12/04/2018;7800000;microempresarial;"Femenino; comercio; comidas rapidas; andalucia; 2; 2.0; 43202; 7800000; microempresarial"
13;Masculino;industria;fabrica de ;san javier no.1;1;13.0;23/08/2018;4000000;microempresarial;"Masculino; industria; fabrica de ; san javier no.1; 1; 13.0; 43335; 4000000; microempresarial"
14;Masculino;servicio;variedades;belencito;2;13.0;30/07/2018;7800000;microempresarial;"Masculino; servicio; variedades; belencito; 2; 13.0; 43311; 7800000; microempresarial"
15;Masculino;comercio;miscelanea;centro admtivo;3;10.0;14/02/2018;1000000;microempresarial;"Masculino; comercio; miscelanea; centro admtivo; 3; 10.0; 43145; 1000000; microempresarial"
16;Femenino;comercio;variedades;cabecera san antonio ;2;80.0;16/11/2017;7000000;microempresarial;"Femenino; comercio; variedades; cabecera san antonio ; 2; 80.0; 43055; 7000000; microempresarial"
17;Femenino;servicio;cafe e internet;manrique central no. 1;3;4.0;29/04/2019;8000000;microempresarial;"Femenino; servicio; cafe e internet; manrique central no. 1; 3; 4.0; 43584; 8000000; microempresarial"
18;Masculino;comercio;tienda;villa hermosa;3;8.0;27/06/2018;5000000;microempresarial;"Masculino; comercio; tienda; villa hermosa; 3; 8.0; 43278; 5000000; microempresarial"
19;Femenino;comercio;venta de calzado;playon de los ;2;2.0;27/02/2017;7000000;microempresarial;"Femenino; comercio; venta de calzado; playon de los ; 2; 2.0; 42793; 7000000; microempresarial"
20;Femenino;comercio;productos de belleza;buenos aires;3;9.0;24/07/2017;7300000;microempresarial;"Femenino; comercio; productos de belleza; buenos aires; 3; 9.0; 42940; 7300000; microempresarial"
21;Masculino;comercio;tienda;manrique central no. 1;2;4.0;14/09/2018;6000000;microempresarial;"Masculino; comercio; tienda; manrique central no. 1; 2; 4.0; 43357; 6000000; microempresarial"
22;Femenino;comercio;tienda;popular;2;1.0;11/10/2018;6000000;microempresarial;"Femenino; comercio; tienda; popular; 2; 1.0; 43384; 6000000; microempresarial"
23;Femenino;comercio;almacen de ropa en ;robledo;2;7.0;15/02/2018;6000000;microempresarial;"Femenino; comercio; almacen de ropa en ; robledo; 2; 7.0; 43146; 6000000; microempresarial"
24;Femenino;comercio;variedades;tricentenario;3;5.0;20/11/2017;4000000;microempresarial;"Femenino; comercio; variedades; tricentenario; 3; 5.0; 43059; 4000000; microempresarial"
25;Masculino;servicio;barberia;calasanz;2;12.0;26/09/2017;7377000;microempresarial;"Masculino; servicio; barberia; calasanz; 2; 12.0; 43004; 7377000; microempresarial"
26;Masculino;industria;fabrica de ;aranjuez;3;4.0;24/10/2016;$ 6,500,000.00;Microempresarial;"Masculino; industria; fabrica de ; aranjuez; 3; 4.0; 42667; $ 6,500,000.00; Microempresarial"
27;Femenino;comercio;comidas_rapidas;buenos aires;2;9.0;28/06/2019;1500000;microempresarial;"Femenino; comercio; comidas_rapidas; buenos aires; 2; 9.0; 43644; 1500000; microempresarial"
28;Masculino;comercio;variedades;andalucia;2;2.0;17/08/2018;7800000;microempresarial;"Masculino; comercio; variedades; andalucia; 2; 2.0; 43329; 7800000; microempresarial"
29;Femenino;servicio;peluqueria;pedregal;3;6.0;27/10/2017;7300000;microempresarial;"Femenino; servicio; peluqueria; pedregal; 3; 6.0; 43035; 7300000; microempresarial"
30;Femenino;servicio;jardineria;la francia;2;2.0;12/06/2017;7377000;microempresarial;"Femenino; servicio; jardineria; la francia; 2; 2.0; 42898; 7377000; microempresarial"
31;Femenino;comercio;variedades;santa cruz;2;2.0;14/06/2017;4000000;microempresarial;"Femenino; comercio; variedades; santa cruz; 2; 2.0; 42900; 4000000; microempresarial"
32;Femenino;comercio;tienda;san javier no.1;2;13.0;6/02/2018;7800000;microempresarial;"Femenino; comercio; tienda; san javier no.1; 2; 13.0; 43137; 7800000; microempresarial"
33;Femenino;comercio;variedades;LA FLORESTA;3;12.0;5/09/2017;7300000;microempresarial;"Femenino; comercio; variedades; LA FLORESTA; 3; 12.0; 42983; 7300000; microempresarial"
34;Femenino;comercio;VARIEDADES;belen;3;16.0;16/09/2016;6890000;microempresarial;"Femenino; comercio; VARIEDADES; belen; 3; 16.0; 42629; 6890000; microempresarial"
35;Masculino;comercio;tienda;las brisas;3;5.0;15/01/2018;6000000;microempresarial;"Masculino; comercio; tienda; las brisas; 3; 5.0; 43115; 6000000; microempresarial"
36;Femenino;comercio;peluqueria;castilla;3;5.0;11/08/2017;2500000;microempresarial;"Femenino; comercio; peluqueria; castilla; 3; 5.0; 42958; 2500000; microempresarial"
37;Masculino;industria;fabrica de alimentos;san javier no.1;2;13.0;27/10/2016;$ 6,800,000.00;microempresarial;"Masculino; industria; fabrica de alimentos; san javier no.1; 2; 13.0; 42670; $ 6,800,000.00; microempresarial"
38;Femenino;comercio;almacen de ropa en ;cabecera san antonio ;2;80.0;22/09/2016;4000000;Microempresarial;"Femenino; comercio; almacen de ropa en ; cabecera san antonio ; 2; 80.0; 42635; 4000000; Microempresarial"
39;Masculino;industria;variedades;cabecera san antonio ;2;80.0;24/07/2017;5000000;credioportuno;"Masculino; industria; variedades; cabecera san antonio ; 2; 80.0; 42940; 5000000; credioportuno"
40;Masculino;industria;fabrica de ;guayabal;2;15.0;2/03/2016;4000000;microempresarial;"Masculino; industria; fabrica de ; guayabal; 2; 15.0; 42431; 4000000; microempresarial"
41;Masculino;INDUSTRIA;fabrica de ;belen;2;16.0;24/05/2016;6500000;microempresarial;"Masculino; INDUSTRIA; fabrica de ; belen; 2; 16.0; 42514; 6500000; microempresarial"
42;Femenino;comercio;comidas rapidas;santander;2;6.0;27/07/2018;1200000;microempresarial;"Femenino; comercio; comidas rapidas; santander; 2; 6.0; 43308; 1200000; microempresarial"
43;Femenino;comercio;almacen de ropa en ;prado;3;10.0;20/11/2017;7000000;microempresarial;"Femenino; comercio; almacen de ropa en ; prado; 3; 10.0; 43059; 7000000; microempresarial"
44;Femenino;comercio;comidas rapidas;santa cruz;2;2.0;22/03/2018;1500000;microempresarial;"Femenino; comercio; comidas rapidas; santa cruz; 2; 2.0; 43181; 1500000; microempresarial"
45;Masculino;industria;fabrica-de-traperos;ARANJUEZ;3;4.0;24/02/2016;$ 2,000,000.00;microempresarial;"Masculino; industria; fabrica-de-traperos; ARANJUEZ; 3; 4.0; 42424; $ 2,000,000.00; microempresarial"
46;Femenino;comercio;variedades;castilla;3;5.0;15/02/2017;4000000;microempresarial;"Femenino; comercio; variedades; castilla; 3; 5.0; 42781; 4000000; microempresarial"
47;Masculino;industria;fabrica de alimentos;san javier no.2;3;13.0;29/02/2016;$ 6,890,000.00;microempresarial;"Masculino; industria; fabrica de alimentos; san javier no.2; 3; 13.0; 42429; $ 6,890,000.00; microempresarial"
48;Femenino;servicio;papeleria;;2;60.0;25/07/2016;5500000;microempresarial;"Femenino; servicio; papeleria; ; 2; 60.0; 42576; 5500000; microempresarial"
49;Masculino;industria;fabrica de ;san javier no.1;1;13.0;15/08/2017;6000000;MICROEMPRESARIAL;"Masculino; industria; fabrica de ; san javier no.1; 1; 13.0; 42962; 6000000; MICROEMPRESARIAL"
50;Masculino;servicio;variedades;pedregal;3;6.0;24/04/2017;7000000;microempresarial;"Masculino; servicio; variedades; pedregal; 3; 6.0; 42849; 7000000; microempresarial"
51;Masculino;comercio;panaderia;cabecera san antonio ;2;80.0;27/04/2017;3000000;microempresarial;"Masculino; comercio; panaderia; cabecera san antonio ; 2; 80.0; 42852; 3000000; microempresarial"
52;Masculino;servicio;mantenimiento en ;la milagrosa;2;9.0;16/05/2018;7000000;microempresarial;"Masculino; servicio; mantenimiento en ; la milagrosa; 2; 9.0; 43236; 7000000; microempresarial"
53;Masculino;comercio;variedades;la floresta;3;12.0;16/08/2016;6000000;microempresarial;"Masculino; comercio; variedades; la floresta; 3; 12.0; 42598; 6000000; microempresarial"
54;Femenino;comercio;fabrica de ;san javier no.1;1;13.0;5/10/2017;7300000;microempresarial;"Femenino; comercio; fabrica de ; san javier no.1; 1; 13.0; 43013; 7300000; microempresarial"
55;Masculino;comercio;tienda;cabecera san antonio ;3;80.0;21/05/2018;5500000;microempresarial;"Masculino; comercio; tienda; cabecera san antonio ; 3; 80.0; 43241; 5500000; microempresarial"
56;Femenino;comercio;tienda de helados;robledo;3;7.0;23/05/2018;7800000;microempresarial;"Femenino; comercio; tienda de helados; robledo; 3; 7.0; 43243; 7800000; microempresarial"
57;Femenino;comercio;variedades;tricentenario;3;5.0;27/04/2017;7000000;Microempresarial;"Femenino; comercio; variedades; tricentenario; 3; 5.0; 42852; 7000000; Microempresarial"
58;Femenino;comercio;miscelanea;villa hermosa;3;8.0;19/12/2016;6890000;microempresarial;"Femenino; comercio; miscelanea; villa hermosa; 3; 8.0; 42723; 6890000; microempresarial"
59;Masculino;servicio;mantenimiento en ;andalucia;1;2.0;22/01/2016;6890000;microempresarial;"Masculino; servicio; mantenimiento en ; andalucia; 1; 2.0; 42391; 6890000; microempresarial"
60;Femenino;comercio;tienda;bombona_no._1;3;10.0;5/10/2016;4000000;microempresarial;"Femenino; comercio; tienda; bombona_no._1; 3; 10.0; 42648; 4000000; microempresarial"
61;Masculino;industria;fabrica de ;santa cruz;2;2.0;30/09/2016;6890000;microempresarial;"Masculino; industria; fabrica de ; santa cruz; 2; 2.0; 42643; 6890000; microempresarial"
62;Femenino;comercio;almacen de ropa en ;manrique oriental;2;3.0;8/02/2017;1200000;microempresarial;"Femenino; comercio; almacen de ropa en ; manrique oriental; 2; 3.0; 42774; 1200000; microempresarial"
63;Femenino;comercio;fabrica de ;villa liliam;1;13.0;6/02/2019;7800000;microempresarial;"Femenino; comercio; fabrica de ; villa liliam; 1; 13.0; 43502; 7800000; microempresarial"
64;Masculino;comercio;tienda;kennedy;2;6.0;27/09/2018;5000000;microempresarial;"Masculino; comercio; tienda; kennedy; 2; 6.0; 43370; 5000000; microempresarial"
65;Femenino;comercio;variedades;robledo;2;7.0;28/10/2016;$ 6,000,000.00;microempresarial;"Femenino; comercio; variedades; robledo; 2; 7.0; 42671; $ 6,000,000.00; microempresarial"
66;Femenino;comercio;tienda;santa cruz;2;2.0;4/04/2016;4000000;microempresarial;"Femenino; comercio; tienda; santa cruz; 2; 2.0; 42464; 4000000; microempresarial"
67;Femenino;comercio;variedades;popular;2;1.0;29/02/2016;6500000;microempresarial;"Femenino; comercio; variedades; popular; 2; 1.0; 42429; 6500000; microempresarial"
68;Masculino;comercio;comidas rapidas;doce de octubre no.1;2;6.0;21/05/2018;5000000;microempresarial;"Masculino; comercio; comidas rapidas; doce de octubre no.1; 2; 6.0; 43241; 5000000; microempresarial"
69;Masculino;servicio;bares;san javier no.1;2;13.0;16/07/2018;5000000;microempresarial;"Masculino; servicio; bares; san javier no.1; 2; 13.0; 43297; 5000000; microempresarial"
70;Masculino;industria;fabrica de ;buenos aires;3;9.0;6/03/2018;7800000;Microempresarial;"Masculino; industria; fabrica de ; buenos aires; 3; 9.0; 43165; 7800000; Microempresarial"
71;Femenino;comercio;peluqueria;pedregal;3;6.0;18/04/2017;7000000;microempresarial;"Femenino; comercio; peluqueria; pedregal; 3; 6.0; 42843; 7000000; microempresarial"
72;Femenino;comercio;almacen de ropa en ;robledo;2;7.0;3/07/2018;4000000;microempresarial;"Femenino; comercio; almacen de ropa en ; robledo; 2; 7.0; 43284; 4000000; microempresarial"
73;Femenino;comercio;Tienda;robledo;2;7.0;5/09/2018;5000000;microempresarial;"Femenino; comercio; Tienda; robledo; 2; 7.0; 43348; 5000000; microempresarial"
74;Femenino;comercio;peluqueria;robledo;2;7.0;3/05/2018;6000000;microempresarial;"Femenino; comercio; peluqueria; robledo; 2; 7.0; 43223; 6000000; microempresarial"
75;Femenino;agropecuaria;criadero de animales ;la floresta;2;12.0;14/06/2016;6890000;microempresarial;"Femenino; agropecuaria; criadero de animales ; la floresta; 2; 12.0; 42535; 6890000; microempresarial"
76;Masculino;comercio;almacen de ropa en ;popular;1;1.0;18/10/2018;7800000;microempresarial;"Masculino; comercio; almacen de ropa en ; popular; 1; 1.0; 43391; 7800000; microempresarial"
77;Masculino;comercio;tienda;la milagrosa;3;9.0;20/02/2018;5000000;microempresarial;"Masculino; comercio; tienda; la milagrosa; 3; 9.0; 43151; 5000000; microempresarial"
78;Femenino;comercio;papeleria;;2;7.0;28/11/2016;6890000;microempresarial;"Femenino; comercio; papeleria; ; 2; 7.0; 42702; 6890000; microempresarial"
79;Femenino;comercio;restaurante;enciso;3;8.0;9/03/2017;7000000;microempresarial;"Femenino; comercio; restaurante; enciso; 3; 8.0; 42803; 7000000; microempresarial"
80;Femenino;servicio;organización y ;pedregal;3;6.0;12/10/2017;$ 7,377,000.00;microempresarial;"Femenino; servicio; organización y ; pedregal; 3; 6.0; 43020; $ 7,377,000.00; microempresarial"
81;Femenino;industria;fabrica de ;el salvador;2;9.0;6/06/2017;7377000;microempresarial;"Femenino; industria; fabrica de ; el salvador; 2; 9.0; 42892; 7377000; microempresarial"
82;Femenino;industria;Fabrica De ;manrique central no. 1;2;4.0;27/04/2018;3000000;microempresarial;"Femenino; industria; Fabrica De ; manrique central no. 1; 2; 4.0; 43217; 3000000; microempresarial"
83;Masculino;servicio;RESTAURANTE;belen;3;16.0;3/04/2017;7350000;microempresarial;"Masculino; servicio; RESTAURANTE; belen; 3; 16.0; 42828; 7350000; microempresarial"
84;Femenino;comercio;variedades;buenos aires;3;9.0;20/06/2017;1000000;microempresarial;"Femenino; comercio; variedades; buenos aires; 3; 9.0; 42906; 1000000; microempresarial"
85;Masculino;comercio;tienda;ARANJUEZ;1;4.0;4/09/2017;3000000;microempresarial;"Masculino; comercio; tienda; ARANJUEZ; 1; 4.0; 42982; 3000000; microempresarial"
86;Femenino;servicio;peluqueria;el salvador;2;60.0;19/09/2017;3000000;MICROEMPRESARIAL;"Femenino; servicio; peluqueria; el salvador; 2; 60.0; 42997; 3000000; MICROEMPRESARIAL"
87;Femenino;industria;fabrica de ;la esperanza;1;6.0;12/04/2018;3000000;microempresarial;"Femenino; industria; fabrica de ; la esperanza; 1; 6.0; 43202; 3000000; microempresarial"
88;Femenino;comercio;panaderia;playon de los ;2;2.0;22/11/2016;6000000;Microempresarial;"Femenino; comercio; panaderia; playon de los ; 2; 2.0; 42696; 6000000; Microempresarial"
89;Femenino;comercio;almacen de ropa en ;santa cruz;2;2.0;21/02/2017;6000000;microempresarial;"Femenino; comercio; almacen de ropa en ; santa cruz; 2; 2.0; 42787; 6000000; microempresarial"
90;Masculino;comercio;tienda;robledo;1;7.0;18/12/2017;5000000;microempresarial;"Masculino; comercio; tienda; robledo; 1; 7.0; 43087; 5000000; microempresarial"
91;Femenino;comercio;comidas rapidas;robledo;3;7.0;29/01/2018;7800000;microempresarial;"Femenino; comercio; comidas rapidas; robledo; 3; 7.0; 43129; 7800000; microempresarial"
92;Femenino;industria;fabrica de ;barrio caicedo;2;9.0;16/03/2017;5000000;microempresarial;"Femenino; industria; fabrica de ; barrio caicedo; 2; 9.0; 42810; 5000000; microempresarial"
93;Masculino;Servicio;variedades;santo domingo savio ;1;1.0;28/02/2018;7000000;microempresarial;"Masculino; Servicio; variedades; santo domingo savio ; 1; 1.0; 43159; 7000000; microempresarial"
94;Femenino;comercio;variedades;aranjuez;2;4.0;25/08/2016;3000000;microempresarial;"Femenino; comercio; variedades; aranjuez; 2; 4.0; 42607; 3000000; microempresarial"
95;Masculino;servicio;comidas_rapidas;robledo;2;7.0;29/03/2017;7377000;microempresarial;"Masculino; servicio; comidas_rapidas; robledo; 2; 7.0; 42823; 7377000; microempresarial"
96;Femenino;comercio;tienda;popular;2;1.0;29/06/2017;7300000;microempresarial;"Femenino; comercio; tienda; popular; 2; 1.0; 42915; 7300000; microempresarial"
97;Femenino;comercio;almacen de ropa en ;robledo;2;7.0;9/03/2017;$ 6,000,000.00;microempresarial;"Femenino; comercio; almacen de ropa en ; robledo; 2; 7.0; 42803; $ 6,000,000.00; microempresarial"
98;Masculino;comercio;tienda;el salvador;3;9.0;12/04/2016;1000000;microempresarial;"Masculino; comercio; tienda; el salvador; 3; 9.0; 42472; 1000000; microempresarial"
99;Femenino;comercio;miscelanea;centro admtivo;1;10.0;15/02/2018;5000000;microempresarial;"Femenino; comercio; miscelanea; centro admtivo; 1; 10.0; 43146; 5000000; microempresarial"
100;Femenino;comercio;variedades;doce de octubre no.1;2;6.0;2/03/2017;3000000;microempresarial;"Femenino; comercio; variedades; doce de octubre no.1; 2; 6.0; 42796; 3000000; microempresarial"
101;Masculino;comercio;fabrica de ;centro admtivo;2;10.0;24/01/2018;$ 4,500,000.00;Microempresarial;"Masculino; comercio; fabrica de ; centro admtivo; 2; 10.0; 43124; $ 4,500,000.00; Microempresarial"
102;Femenino;comercio;fabrica de alimentos;campo valdes no. 2;1;3.0;24/11/2017;3000000;microempresarial;"Femenino; comercio; fabrica de alimentos; campo valdes no. 2; 1; 3.0; 43063; 3000000; microempresarial"
103;Masculino;comercio;variedades;campo valdes no. 1;3;4.0;6/06/2018;4000000;microempresarial;"Masculino; comercio; variedades; campo valdes no. 1; 3; 4.0; 43257; 4000000; microempresarial"
104;Femenino;servicio;fabrica de arepas;villa hermosa;3;8.0;24/08/2016;1050000;microempresarial;"Femenino; servicio; fabrica de arepas; villa hermosa; 3; 8.0; 42606; 1050000; microempresarial"
105;Femenino;industria;carpinteria;belen;3;16.0;30/01/2018;7800000;microempresarial;"Femenino; industria; carpinteria; belen; 3; 16.0; 43130; 7800000; microempresarial"
106;Femenino;Comercio;variedades;Calasanz;3;12.0;16/05/2018;3000000;microempresarial;"Femenino; Comercio; variedades; Calasanz; 3; 12.0; 43236; 3000000; microempresarial"
107;Femenino;industria;fabrica de ;;2;1.0;15/06/2016;6890000;microempresarial;"Femenino; industria; fabrica de ; ; 2; 1.0; 42536; 6890000; microempresarial"
108;Femenino;servicio;variedades;las palmas;2;10.0;22/12/2017;$ 4,400,000.00;microempresarial;"Femenino; servicio; variedades; las palmas; 2; 10.0; 43091; $ 4,400,000.00; microempresarial"
109;Masculino;comercio;tienda;girardot;3;5.0;16/05/2019;8200000;microempresarial;"Masculino; comercio; tienda; girardot; 3; 5.0; 43601; 8200000; microempresarial"
110;Masculino;servicio;drogueria;cabecera san cristobal;2;60.0;12/07/2018;7800000;microempresarial;"Masculino; servicio; drogueria; cabecera san cristobal; 2; 60.0; 43293; 7800000; microempresarial"
111;Femenino;industria;fabrica de ;moravia;2;4.0;1/06/2018;7800000;microempresarial;"Femenino; industria; fabrica de ; moravia; 2; 4.0; 43252; 7800000; microempresarial"
112;Femenino;comercio;tienda;enciso;2;8.0;18/04/2017;$ 7,000,000.00;microempresarial;"Femenino; comercio; tienda; enciso; 2; 8.0; 42843; $ 7,000,000.00; microempresarial"
113;Femenino;comercio;ALMACEN DE ROPA EN ;cabecera san antonio ;2;80.0;9/02/2017;7377000;microempresarial;"Femenino; comercio; ALMACEN DE ROPA EN ; cabecera san antonio ; 2; 80.0; 42775; 7377000; microempresarial"
114;Femenino;comercio;tienda de helados;san javier no.1;2;13.0;27/09/2017;30000000;empresarial ed. ;"Femenino; comercio; tienda de helados; san javier no.1; 2; 13.0; 43005; 30000000; empresarial ed. "
115;Femenino;comercio;almacen de ropa en ;antonio nariño;2;13.0;16/08/2016;6890000;microempresarial;"Femenino; comercio; almacen de ropa en ; antonio nariño; 2; 13.0; 42598; 6890000; microempresarial"
116;Masculino;comercio;productos de mar;santa cruz;2;2.0;7/06/2018;2500000;microempresarial;"Masculino; comercio; productos de mar; santa cruz; 2; 2.0; 43258; 2500000; microempresarial"
117;Femenino;agropecuaria;criadero de animales ;cabecera san antonio ;2;80.0;5/12/2017;7300000;microempresarial;"Femenino; agropecuaria; criadero de animales ; cabecera san antonio ; 2; 80.0; 43074; 7300000; microempresarial"
118;Masculino;servicio;cafe e internet;moravia;3;4.0;13/02/2018;3000000;microempresarial;"Masculino; servicio; cafe e internet; moravia; 3; 4.0; 43144; 3000000; microempresarial"
119;Femenino;industria;fabrica de ;popular;2;1.0;24/08/2018;7800000;microempresarial;"Femenino; industria; fabrica de ; popular; 2; 1.0; 43336; 7800000; microempresarial"
120;Masculino;industria;ebanistaria;manrique oriental;2;3.0;6/12/2016;6500000;microempresarial;"Masculino; industria; ebanistaria; manrique oriental; 2; 3.0; 42710; 6500000; microempresarial"
121;Femenino;comercio;variedades;las palmas;2;8.0;22/05/2018;$ 4,400,000.00;microempresarial;"Femenino; comercio; variedades; las palmas; 2; 8.0; 43242; $ 4,400,000.00; microempresarial"
122;Masculino;agropecuaria;sembrados;santa elena central;2;90.0;26/07/2017;10000000;agropecuaria;"Masculino; agropecuaria; sembrados; santa elena central; 2; 90.0; 42942; 10000000; agropecuaria"
123;Femenino;comercio;variedades;aranjuez;3;4.0;2/02/2018;36;microempresarial;"Femenino; comercio; variedades; aranjuez; 3; 4.0; 43133; 36; microempresarial"
124;Masculino;industria;fabrica de calzado;el_socorro;2;13.0;12/12/2017;7370000;microempresarial;"Masculino; industria; fabrica de calzado; el_socorro; 2; 13.0; 43081; 7370000; microempresarial"
125;Masculino;industria;fabrica de ;doce de octubre no.1;1;6.0;27/07/2016;6800000;microempresarial;"Masculino; industria; fabrica de ; doce de octubre no.1; 1; 6.0; 42578; 6800000; microempresarial"
126;Femenino;comercio;fabrica_de_helados;manrique central no. 1;2;4.0;4/10/2016;6000000;microempresarial;"Femenino; comercio; fabrica_de_helados; manrique central no. 1; 2; 4.0; 42647; 6000000; microempresarial"
127;Femenino;comercio;miscelanea;lopez de mesa;3;7.0;18/10/2017;2000000;microempresarial;"Femenino; comercio; miscelanea; lopez de mesa; 3; 7.0; 43026; 2000000; microempresarial"
128;Femenino;comercio;bares;aures no. 2;2;7.0;1/03/2019;2500000;microempresarial;"Femenino; comercio; bares; aures no. 2; 2; 7.0; 43525; 2500000; microempresarial"
129;Masculino;servicio;variedades;popular;2;1.0;31/08/2017;5000000;microempresarial;"Masculino; servicio; variedades; popular; 2; 1.0; 42978; 5000000; microempresarial"
130;Femenino;comercio;miscelanea;buenos aires;2;9.0;24/01/2017;7370000;microempresarial;"Femenino; comercio; miscelanea; buenos aires; 2; 9.0; 42759; 7370000; microempresarial"
131;Femenino;comercio;papeleria;cabecera san antonio ;2;80.0;11/12/2018;2000000;microempresarial;"Femenino; comercio; papeleria; cabecera san antonio ; 2; 80.0; 43445; 2000000; microempresarial"
132;Masculino;servicio;restaurante;centro admtivo;3;10.0;8/11/2017;4000000;microempresarial;"Masculino; servicio; restaurante; centro admtivo; 3; 10.0; 43047; 4000000; microempresarial"
133;Femenino;comercio;carniceria;robledo;3;7.0;13/10/2017;4000000;microempresarial;"Femenino; comercio; carniceria; robledo; 3; 7.0; 43021; 4000000; microempresarial"
134;Femenino;industria;fabrica de ;castilla;2;5.0;18/01/2019;8200000;microempresarial;"Femenino; industria; fabrica de ; castilla; 2; 5.0; 43483; 8200000; microempresarial"
135;Femenino;comercio;comidas rapidas;san_jose_de_la_cima_no._;1;3.0;16/02/2018;2000000;microempresarial;"Femenino; comercio; comidas rapidas; san_jose_de_la_cima_no._; 1; 3.0; 43147; 2000000; microempresarial"
136;Femenino;servicio;comidas rapidas;palermo;1;4.0;18/08/2016;3500000;microempresarial;"Femenino; servicio; comidas rapidas; palermo; 1; 4.0; 42600; 3500000; microempresarial"
137;Masculino;servicio;tienda;13 de noviembre;1;8.0;15/08/2017;7200000;microempresarial;"Masculino; servicio; tienda; 13 de noviembre; 1; 8.0; 42962; 7200000; microempresarial"
138;Femenino;servicio;mantenimiento en ;tejelo;3;5.0;3/04/2017;7377000;microempresarial;"Femenino; servicio; mantenimiento en ; tejelo; 3; 5.0; 42828; 7377000; microempresarial"
139;Femenino;industria;fabrica de ;doce de octubre no.1;1;6.0;15/04/2016;2000000;microempresarial;"Femenino; industria; fabrica de ; doce de octubre no.1; 1; 6.0; 42475; 2000000; microempresarial"
140;Femenino;COMERCIO;variedades;francisco antonio zea;2;5.0;9/02/2018;781000;microempresarial;"Femenino; COMERCIO; variedades; francisco antonio zea; 2; 5.0; 43140; 781000; microempresarial"
141;Femenino;comercio;tienda;picacho;1;6.0;29/05/2019;8200000;microempresarial;"Femenino; comercio; tienda; picacho; 1; 6.0; 43614; 8200000; microempresarial"
142;Masculino;comercio;almacen de ropa en ;girardot;3;5.0;23/02/2017;3000000;microempresarial;"Masculino; comercio; almacen de ropa en ; girardot; 3; 5.0; 42789; 3000000; microempresarial"
143;Masculino;industria;carpinteria;manrique oriental;1;3.0;16/12/2016;6900000;microempresarial;"Masculino; industria; carpinteria; manrique oriental; 1; 3.0; 42720; 6900000; microempresarial"
144;Femenino;servicio;peluqueria;buenos aires;3;9.0;13/06/2017;7377000;microempresarial;"Femenino; servicio; peluqueria; buenos aires; 3; 9.0; 42899; 7377000; microempresarial"
145;Femenino;comercio;variedades;el salvador;2;9.0;27/10/2017;6500000;microempresarial;"Femenino; comercio; variedades; el salvador; 2; 9.0; 43035; 6500000; microempresarial"
146;Masculino;servicio;cafeteria;santa elena central;2;90.0;16/05/2016;6000000;microempresarial;"Masculino; servicio; cafeteria; santa elena central; 2; 90.0; 42506; 6000000; microempresarial"
147;Masculino;servicio;barberia;robledo;2;7.0;8/05/2018;6000000;microempresarial;"Masculino; servicio; barberia; robledo; 2; 7.0; 43228; 6000000; microempresarial"
