;sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito;result
8665;Femenino;servicio;tienda;la milagrosa;3;9.0;30/06/2017;5000000;microempresarial;"Femenino; servicio; tienda; la milagrosa; 3; 9.0; 42916; 5000000; microempresarial"
8666;Femenino;comercio;almacen de ropa en ;robledo;2;7.0;26/09/2017;7100000;microempresarial;"Femenino; comercio; almacen de ropa en ; robledo; 2; 7.0; 43004; 7100000; microempresarial"
8667;Femenino;industria;fabrica de ;SAN PABLO;2;1.0;1/11/2018;7800000;microempresarial;"Femenino; industria; fabrica de ; SAN PABLO; 2; 1.0; 43405; 7800000; microempresarial"
8668;Masculino;industria;fabrica de ;cordoba;3;7.0;29/11/2018;7800000;microempresarial;"Masculino; industria; fabrica de ; cordoba; 3; 7.0; 43433; 7800000; microempresarial"
8669;Femenino;comercio;comidas rapidas;granizal;2;1.0;5/09/2018;4000000;microempresarial;"Femenino; comercio; comidas rapidas; granizal; 2; 1.0; 43348; 4000000; microempresarial"
8670;Femenino;comercio;variedades;la pradera;3;13.0;4/07/2018;4000000;microempresarial;"Femenino; comercio; variedades; la pradera; 3; 13.0; 43285; 4000000; microempresarial"
8671;Femenino;comercio;comidas_rapidas;sevilla;3;4.0;11/07/2018;3000000;microempresarial;"Femenino; comercio; comidas_rapidas; sevilla; 3; 4.0; 43292; 3000000; microempresarial"
8673;Femenino;comercio;comidas rapidas;buenos aires;1;9.0;30/12/2016;5000000;microempresarial;"Femenino; comercio; comidas rapidas; buenos aires; 1; 9.0; 42734; 5000000; microempresarial"
8674;Masculino;comercio;fabrica de arepas;toscana;2;5.0;14/12/2017;7000000;microempresarial;"Masculino; comercio; fabrica de arepas; toscana; 2; 5.0; 43083; 7000000; microempresarial"
8675;Femenino;servicio;cafe e internet;belen;3;16.0;1/12/2017;7000000;microempresarial;"Femenino; servicio; cafe e internet; belen; 3; 16.0; 43070; 7000000; microempresarial"
8676;Masculino;comercio;Fabrica De ;granizal;2;1.0;20/06/2017;7000000;microempresarial;"Masculino; comercio; Fabrica De ; granizal; 2; 1.0; 42906; 7000000; microempresarial"
8677;Femenino;comercio;almacen de ropa en ;san_javier_no.1;3;13.0;23/03/2017;7000000;microempresarial;"Femenino; comercio; almacen de ropa en ; san_javier_no.1; 3; 13.0; 42817; 7000000; microempresarial"
8678;Femenino;industria;fabrica_de_;santa cruz;2;2.0;15/04/2016;600000;microempresarial;"Femenino; industria; fabrica_de_; santa cruz; 2; 2.0; 42475; 600000; microempresarial"
